Product Name,Price
"MSI Thin A15 B7UCX Ryzen 5 7535HS RTX 2050 4GB GDDR6 Graphics 15.6"" FHD Gaming Laptop",91000
ASUS Vivobook 15 X1504ZA-NJ1277W i7-1255U 16GB 15.6 Inch FHD Laptop,91500
"Lenovo IdeaPad Gaming 3 15ACH6 Ryzen 5 5500H RTX 2050 4GB Graphics 15.6"" FHD Laptop",92000
"ASUS ExpertBook B1 B1402CBA-NK3884 Core i7 12th Gen 14"" Laptop",92500
"HP ProBook 450 G10 Core i5 13th Gen 15.6"" FHD Laptop",93000
"Acer Aspire Vero AV14-52P Core i5 13th Gen 14"" FHD Laptop",94000
Asus ExpertBook B3 Flip B3402FEA Core i5 14-inch 250 Nits 360° FHD Touch Laptop,95000
"MSI Thin A15 B7UC Ryzen 5 7535HS RTX 3050 4GB GDDR6 Graphics 15.6"" FHD Gaming Laptop",95000
"Dell Inspiron 3530 Core i7 13th Gen 15.6"" FHD Laptop",96475
"Walton Tamarind MX711G Core i7 11th Gen 14"" FHD Laptop",97500
"Acer TravelMate TMP214-54 Core i7 12th Gen 14"" FHD Laptop",98000
"Dell Latitude 3430 Core i7 12th Gen 14"" FHD Laptop",98500
"Asus TUF Gaming A15 FA506NFR Ryzen 7 7435HS RTX 2050 4GB Graphics 15.6"" FHD Gaming Laptop",98900
"Apple MacBook Air 13.3-Inch Retina Display 8-core Apple M1 chip with 8GB RAM, 256GB SSD (MGN63) Space Gray",99000
"ASUS VivoBook 15X K3504VA Core i5 13th Gen 15.6"" FHD Laptop",100000
"Asus Vivobook 14 X1404VA Core i7 13th Gen 14"" FHD Laptop",102000
"ASUS Vivobook 15 X1504VA-NJ263W Core i7 13th Gen 15.6"" FHD Laptop",102500
"Asus Vivobook 15X OLED K3504VA Core i5 13th Gen 16GB RAM 15.6"" 2.8K OLED Laptop",104000
"MSI Modern 14 C13M Core i7 13th Gen 14"" FHD Laptop",104500
"Lenovo LOQ 15IAX9 Core i5 12th Gen RTX 2050 4GB Graphics 15.6"" FHD 144Hz Gaming Laptop",104500
"MSI Modern 15 F1MG Core 7 150U AI Optimized 15.6"" FHD Laptop Platinum Gray",104500
"MSI Modern 15 F1MG Core 7 150U AI Optimized 15.6"" FHD Laptop Urban Silver",104500
